15 10 600
15 2 600
15 26 600
15 30 600
15 35 600
15 9 600
15 6 600
9 10 600
9 19 600
9 2 600
9 30 600
9 35 600
9 6 600
9 18 600
9 23 600
9 5 600
9 1 600
15 26 600
15 30 600
15 35 600
15 9 600
9 30 600
9 35 600
9 23 600
9 5 600
9 1 600
15 26 600
15 30 600
15 35 600
15 9 600
9 30 600
9 35 600
9 23 600
9 5 600
9 1 600
10 13 600
10 18 600
10 20 600
10 23 600
10 26 600
10 35 600
10 19 600
10 30 600
10 5 600
10 2 600
10 6 600
10 9 600
30 19 600
30 20 600
30 2 600
30 26 600
30 28 600
30 18 600
30 33 600
30 1 600
30 23 600
30 35 600
30 5 600
15 26 600
15 30 600
15 35 600
15 9 600
9 30 600
9 35 600
9 23 600
9 5 600
9 1 600
10 20 600
10 26 600
10 35 600
10 19 600
10 30 600
10 5 600
10 6 600
10 9 600
30 33 600
30 1 600
30 23 600
30 35 600
30 5 600
6 15 600
6 19 600
6 20 600
6 2 600
6 23 600
6 30 600
6 35 600
6 1 600
6 13 600
6 18 600
6 26 600
6 5 600
6 9 600
1 15 600
1 18 600
1 23 600
1 3 600
1 35 600
1 5 600
1 19 600
1 2 600
1 26 600
1 33 600
1 4 600
15 26 600
15 30 600
15 35 600
15 9 600
9 30 600
9 35 600
9 23 600
9 5 600
9 1 600
10 20 600
10 26 600
10 35 600
10 19 600
10 30 600
10 5 600
10 6 600
10 9 600
30 33 600
30 1 600
30 23 600
30 35 600
30 5 600
6 15 600
6 23 600
6 30 600
6 35 600
6 1 600
6 26 600
6 5 600
6 9 600
1 15 600
1 18 600
1 35 600
1 5 600
1 19 600
1 26 600
1 33 600
1 13 600
2 10 600
2 1 600
2 19 600
2 30 600
2 33 600
2 6 600
2 23 600
2 35 600
2 4 600
2 13 600
2 18 600
2 5 600
15 26 600
15 30 600
15 35 600
15 9 600
9 30 600
9 35 600
9 23 600
9 5 600
9 1 600
10 20 600
10 26 600
10 35 600
10 19 600
10 30 600
10 5 600
10 6 600
10 9 600
30 33 600
30 1 600
30 23 600
30 35 600
30 5 600
6 15 600
6 23 600
6 30 600
6 35 600
6 1 600
6 26 600
6 5 600
6 9 600
1 15 600
1 35 600
1 5 600
1 19 600
1 26 600
1 33 600
1 13 600
2 18 600
26 13 600
26 17 600
26 18 600
26 20 600
26 4 600
26 7 600
26 19 600
26 5 600
26 33 600
18 17 600
15 13 600
15 17 600
15 19 600
15 33 600
15 7 600
18 7 600
15 26 600
15 30 600
15 35 600
15 9 600
9 30 600
9 35 600
9 23 600
9 5 600
9 1 600
10 20 600
10 26 600
10 35 600
10 19 600
10 30 600
10 5 600
10 6 600
10 9 600
30 33 600
30 1 600
30 23 600
30 35 600
30 5 600
6 15 600
6 23 600
6 30 600
6 35 600
6 1 600
6 26 600
6 5 600
6 9 600
1 15 600
1 35 600
1 5 600
1 19 600
1 26 600
1 33 600
1 13 600
2 18 600
26 5 600
26 33 600
18 17 600
15 33 600
18 7 600
5 20 600
5 33 600
5 15 600
5 19 600
23 10 600
23 15 600
23 19 600
23 33 600
23 4 600
5 4 600
23 1 600
23 20 600
23 26 600
9 19 600
9 26 600
9 33 600
19 13 600
19 15 600
19 33 600
19 6 600
